Price,Close,High,Low,Open,Volume,MA250,MA50,MA100
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,
Date,,,,,,,,
2005-04-13,17.395307540893555,17.68013474443533,17.36057170812228,17.52729973031479,60929300,,,
2005-04-14,17.25636100769043,17.46477063349348,17.249413843492185,17.374460148988447,66754400,,,
2005-04-15,16.992368698120117,17.29803720106062,16.95763421314228,17.07573331711686,100251600,,,
2005-04-18,17.124366760253906,17.25636022395363,16.950691638293854,16.98542745770748,75766400,,,
2005-04-19,17.110469818115234,17.2285689360047,16.985424862440347,17.166045795649346,65956200,,,
2005-04-20,16.89512062072754,17.15910762575939,16.88122628887609,17.131318962056493,91923500,,,
2005-04-21,17.562036514282227,17.63845270044482,16.999327918238944,17.00627508516947,93562300,,,
2005-04-22,17.353620529174805,17.541190007661463,17.214681205323977,17.402249358774405,80087500,,,
2005-04-25,17.36056900024414,17.56203282378387,17.27025849919841,17.416144998972975,75457900,,,
2005-04-26,17.20078468322754,17.541187772077386,17.18689035510239,17.332778150344357,60464300,,,
2005-04-27,17.36056900024414,17.47172099770181,17.110476343446223,17.13131783985816,47732800,,,
2005-04-28,16.985427856445312,17.311936616382127,16.9784806923995,17.242466300960064,83623100,,,
2005-04-29,17.575923919677734,17.575923919677734,17.221627794431196,17.284149626799973,98641200,,,
2005-05-02,17.527292251586914,17.61760405322051,17.332776971211725,17.527292251586914,54376700,,,
2005-05-03,17.61760711669922,17.64539445085498,17.430037642262075,17.457824976417836,67867800,,,
2005-05-04,17.513404846191406,17.645398356496337,17.443935832907595,17.60371668351875,86864200,,,
2005-05-05,17.527292251586914,17.59676256245061,17.423087447809355,17.50645208585298,59362300,,,
2005-05-06,17.520347595214844,17.7009698992937,17.49950742649862,17.596765080604094,64322600,,,
2005-05-09,17.443939208984375,17.596772922839087,17.402256202903022,17.52730257107358,61872400,,,
2005-05-10,17.298046112060547,17.423092442454806,17.242470112444916,17.395305105165164,62235100,,,
2005-05-11,17.304994583129883,17.346676254726983,17.11742507338826,17.2911002509187,59463300,,,
2005-05-12,17.367511749267578,17.44392922497587,17.249412616371117,17.256359780075144,74540700,,,
2005-05-13,17.575923919677734,17.631499912367012,17.3605671136363,17.388355772499033,77204300,,,
2005-05-16,17.76408576965332,17.771054970326848,17.555015066403943,17.58289053985894,50577300,,,
2005-05-17,17.74317741394043,17.771054215450395,17.596828193730293,17.63864206675618,39983200,,,
2005-05-18,17.910436630249023,18.008002782861272,17.71530299578539,17.771055272883693,71182400,,,
2005-05-19,18.063758850097656,18.15435582092678,17.91044038821782,17.945285070250694,52120800,,,
2005-05-20,17.938310623168945,18.06375356859319,17.93134142295215,18.035876767726013,64444500,,,
2005-05-23,18.014972686767578,18.168291122462065,17.93831280430074,17.93831280430074,75421100,,,
2005-05-24,17.945287704467773,18.035884688595775,17.92438009463534,17.980132391615555,61287700,,,
2005-05-25,17.91740608215332,17.959221290594588,17.771056840326647,17.896499807171942,35749000,,,
2005-05-26,18.049823760986328,18.11951446709231,17.93134995937806,17.94528836644719,50579200,,,
2005-05-27,18.168292999267578,18.1822314028358,17.987097740598678,18.0010361441669,54978000,,,
2005-05-31,17.98012351989746,18.140412457710788,17.945278849942667,18.11253565835579,46131100,,,
2005-06-01,17.98710060119629,18.119512797674055,17.847720531065594,17.931348307296105,54621000,,,
2005-06-02,17.973163604736328,18.021946695961418,17.86862689012309,17.917409981348175,27212500,,,
2005-06-03,17.722274780273438,17.987097802788636,17.65955329323891,17.910439241377023,79659500,,,
2005-06-06,17.68046760559082,17.771064604986005,17.63865237887935,17.687435480802897,40756900,,,
2005-06-07,17.778024673461914,18.00103378436127,17.638643314530242,17.65258171627124,54511400,,,
2005-06-08,17.701370239257812,17.85469004710197,17.659556350409208,17.805905625999106,45369700,,,
2005-06-09,17.778024673461914,17.84771535292775,17.666520118012237,17.70136479312558,52767900,,,
2005-06-10,17.722274780273438,17.784996267307967,17.65955329323891,17.76408866188335,39459800,,,
2005-06-13,17.638647079467773,17.76409006343403,17.603802396916898,17.673493091258088,49104100,,,
2005-06-14,17.67348861694336,17.72924089245388,17.58985953905803,17.63864261397485,44243300,,,
2005-06-15,17.603803634643555,17.708339018885525,17.499268250401585,17.701369816037456,50764800,,,
2005-06-16,17.450485229492188,17.582896096416437,17.387763732848267,17.575926893540498,65918800,,,
2005-06-17,17.450485229492188,17.624711313672073,17.366856124220448,17.610772907920193,90821300,,,
2005-06-20,17.499271392822266,17.617745204035234,17.373828377509742,17.40867306876777,50538900,,,
2005-06-21,17.52714729309082,17.555024110146103,17.450488704668384,17.47836419248387,81084000,,,
2005-06-22,17.471389770507812,17.603801953496813,17.44351429101715,17.499266579237876,60492700,,17.58044761657715,
2005-06-23,17.638647079467773,17.854688364849405,17.527142500217646,17.54108090493377,105159800,,17.585314407348633,
2005-06-24,17.450485229492188,17.70136988682834,17.450485229492188,17.575926893540498,57970700,,17.589196891784667,
2005-06-27,17.45745849609375,17.59683993819124,17.443521415275956,17.471396906151487,61636200,,17.59849868774414,
2005-06-28,17.471389770507812,17.56198806964112,17.44351429101715,17.485328174872844,53058100,,17.60543914794922,
2005-06-29,17.485326766967773,17.6456144165412,17.422605281614818,17.57592372956688,55859900,,17.61293628692627,
2005-06-30,17.311100006103516,17.52017072923589,17.297161603430894,17.46441844778464,82018200,,17.62125587463379,
2005-07-01,17.220502853393555,17.41563651595856,17.192627375449597,17.318070349295724,69718400,,17.614425201416015,
2005-07-05,17.408668518066406,17.55501910742093,17.157783882263455,17.18565936213515,61883500,,17.61552616119385,
2005-07-06,17.213533401489258,17.478356399236215,17.206564200332863,17.401696515755084,64214600,,17.61258544921875,
2005-07-07,17.178686141967773,17.220500016615265,17.074150790729497,17.12990306667252,80082900,,17.612143478393556,
2005-07-08,17.485326766967773,17.50623437183186,17.164750138581628,17.17171934020299,56104000,,17.614638633728028,
2005-07-11,17.62470817565918,17.68742833189648,17.49926520470599,17.527140682007087,61525400,,17.627424240112305,
2005-07-12,17.84771728515625,17.854686486781247,17.561986664727808,17.589862141988505,63384800,,17.632860107421877,
2005-07-13,17.882558822631836,17.945280296999307,17.75711587389689,17.791961875900522,44749200,,17.639965438842772,
2005-07-14,18.098600387573242,18.189198671900705,17.973158756506205,17.973158756506205,69506800,,17.649585304260253,
2005-07-15,17.973163604736328,18.18920357840724,17.945286793042253,18.14738969010567,56472800,,17.65878047943115,
2005-07-18,17.805898666381836,17.973156814880824,17.805898666381836,17.917403212555136,39668000,,17.66435260772705,
2005-07-19,18.23101043701172,18.293731909899066,17.945279873520036,17.973156674465095,113290100,,17.678565864562987,
2005-07-20,18.251924514770508,18.27979999636869,18.03588321849696,18.11951232177051,71424800,,17.69472557067871,
2005-07-21,18.4261531829834,18.45402866849706,18.119514866894985,18.32858566058636,112932100,,17.717287712097168,
2005-07-22,17.896501541137695,18.356458244642127,17.861655530727127,18.112541488725686,97558900,,17.729117851257325,
2005-07-25,17.903470993041992,18.049820251090363,17.875594184324548,17.903470993041992,45174600,,17.739837036132812,
